left;top;right;bottom
1236093,497;5879703,316;1236221,497;5879575,316
1236093,497;5879575,316;1236221,497;5879447,316
1236093,497;5879447,316;1236221,497;5879319,316
1236093,497;5879319,316;1236221,497;5879191,316
1236093,497;5879191,316;1236221,497;5879063,316
1236093,497;5879063,316;1236221,497;5878935,316
1236093,497;5878935,316;1236221,497;5878807,316
1236221,497;5882519,316;1236349,497;5882391,316
1236221,497;5882391,316;1236349,497;5882263,316
1236221,497;5882263,316;1236349,497;5882135,316
1236221,497;5882135,316;1236349,497;5882007,316
1236221,497;5882007,316;1236349,497;5881879,316
1236221,497;5881879,316;1236349,497;5881751,316
1236221,497;5881751,316;1236349,497;5881623,316
1236221,497;5881623,316;1236349,497;5881495,316
1236221,497;5881495,316;1236349,497;5881367,316
1236221,497;5881367,316;1236349,497;5881239,316
1236221,497;5881239,316;1236349,497;5881111,316
1236221,497;5881111,316;1236349,497;5880983,316
1236221,497;5880983,316;1236349,497;5880855,316
1236221,497;5880855,316;1236349,497;5880727,316
1236221,497;5880727,316;1236349,497;5880599,316
1236221,497;5880599,316;1236349,497;5880471,316
1236221,497;5880471,316;1236349,497;5880343,316
1236221,497;5880343,316;1236349,497;5880215,316
1236221,497;5880215,316;1236349,497;5880087,316
1236221,497;5880087,316;1236349,497;5879959,316
1236221,497;5879959,316;1236349,497;5879831,316
1236221,497;5879831,316;1236349,497;5879703,316
1236221,497;5879703,316;1236349,497;5879575,316
1236221,497;5879575,316;1236349,497;5879447,316
1236221,497;5879447,316;1236349,497;5879319,316
1236221,497;5879319,316;1236349,497;5879191,316
1236221,497;5879191,316;1236349,497;5879063,316
1236221,497;5879063,316;1236349,497;5878935,316
1236349,497;5882391,316;1236477,497;5882263,316
1236349,497;5882263,316;1236477,497;5882135,316
1236349,497;5882135,316;1236477,497;5882007,316
1236349,497;5882007,316;1236477,497;5881879,316
1236349,497;5881879,316;1236477,497;5881751,316
1236349,497;5881751,316;1236477,497;5881623,316
1236349,497;5881623,316;1236477,497;5881495,316
1236349,497;5881495,316;1236477,497;5881367,316
1236349,497;5881367,316;1236477,497;5881239,316
1236349,497;5881239,316;1236477,497;5881111,316
1236349,497;5881111,316;1236477,497;5880983,316
1236349,497;5880983,316;1236477,497;5880855,316
1236349,497;5880855,316;1236477,497;5880727,316
1236349,497;5880727,316;1236477,497;5880599,316
1236349,497;5880599,316;1236477,497;5880471,316
1236349,497;5880471,316;1236477,497;5880343,316
1236349,497;5880343,316;1236477,497;5880215,316
1236349,497;5880215,316;1236477,497;5880087,316
1236349,497;5880087,316;1236477,497;5879959,316
1236349,497;5879959,316;1236477,497;5879831,316
1236349,497;5879831,316;1236477,497;5879703,316
1236349,497;5879703,316;1236477,497;5879575,316
1236349,497;5879575,316;1236477,497;5879447,316
1236349,497;5879447,316;1236477,497;5879319,316
1236349,497;5872663,316;1236477,497;5872535,316
1236349,497;5872535,316;1236477,497;5872407,316
1236349,497;5872407,316;1236477,497;5872279,316
1236349,497;5872279,316;1236477,497;5872151,316
1236349,497;5872151,316;1236477,497;5872023,316
1236349,497;5872023,316;1236477,497;5871895,316
1236349,497;5871895,316;1236477,497;5871767,316
1236349,497;5871767,316;1236477,497;5871639,316
1236477,497;5882391,316;1236605,497;5882263,316
1236477,497;5882263,316;1236605,497;5882135,316
1236477,497;5882135,316;1236605,497;5882007,316
1236477,497;5882007,316;1236605,497;5881879,316
1236477,497;5881879,316;1236605,497;5881751,316
1236477,497;5881751,316;1236605,497;5881623,316
1236477,497;5881623,316;1236605,497;5881495,316
1236477,497;5881495,316;1236605,497;5881367,316
1236477,497;5881367,316;1236605,497;5881239,316
1236477,497;5881239,316;1236605,497;5881111,316
1236477,497;5881111,316;1236605,497;5880983,316
